Area_Name,Year,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Rajasthan,2006,1678,4879,51924184,136663767
Sikkim,2006,13,84,100500,2703436
Tamil Nadu,2006,2291,3300,79307801,125033409
Tripura,2006,115,182,2210714,4891139
Uttar Pradesh,2006,880,3545,119979317,231897742
Uttarakhand,2006,114,410,4488841,14234550
West Bengal,2006,138,601,3981448,13223258
Andaman & Nicobar Islands,2007,21,90,715116,3173066
Andhra Pradesh,2007,3827,7609,85999945,265927102
Arunachal Pradesh,2007,90,240,4211030,11311656
Assam,2007,491,2603,5730761,36285212
Bihar,2007,294,3259,3910175,56610107
Chandigarh,2007,63,191,2197700,8182250
Chhattisgarh,2007,1164,3632,11248886,52170119
Dadra & Nagar Haveli,2007,6,28,684570,5444419
Daman & Diu,2007,4,46,1918200,10058460
Delhi,2007,981,2055,8374449,142856412
Goa,2007,49,271,1468865,26963400
Gujarat,2007,1230,4747,44679310,240405506
Haryana,2007,1762,4231,48001068,150481239
Himachal Pradesh,2007,144,831,4843695,35526149
Jammu & Kashmir,2007,295,1458,9884179,43615181
Jharkhand,2007,194,1489,2212553,23190276
Karnataka,2007,1985,5449,75589467,266947170
Kerala,2007,1035,3824,19975794,326981272
Lakshadweep,2007,0,2,0,21500
Madhya Pradesh,2007,3445,11230,37539294,199867229
Maharashtra,2007,4120,14771,231671814,1034246567
Manipur,2007,1,70,12000,4379199
Meghalaya,2007,121,203,878586,6501195
Mizoram,2007,279,424,9553498,18614005
Nagaland,2007,12,118,175860,3649018
Odisha,2007,1342,3073,12767910,93810550
Puducherry,2007,36,86,970520,6656261
Punjab,2007,1032,2616,31338421,167088865
Rajasthan,2007,1634,4951,72297141,166591147
Sikkim,2007,17,83,529090,2796950
Tamil Nadu,2007,2613,3717,79980333,132086451
Tripura,2007,38,193,2386125,7024543
Uttar Pradesh,2007,996,3869,39582906,119989378
Uttarakhand,2007,146,508,5773177,23893784
West Bengal,2007,87,399,1788155,24526576
Andaman & Nicobar Islands,2008,35,78,1671141,2940686
Andhra Pradesh,2008,3832,8219,105204037,320442778
Arunachal Pradesh,2008,92,245,2926035,7156154
Assam,2008,666,3147,17965749,66185132
Bihar,2008,288,3414,3698886,43776678
Chandigarh,2008,98,257,2380893,12238993
Chhattisgarh,2008,1227,4112,17704020,80298616
Dadra & Nagar Haveli,2008,19,49,1794785,6242259
Daman & Diu,2008,9,45,1340800,22602575
Delhi,2008,485,1926,5796997,109940832
Goa,2008,84,291,3630962,19170722
Gujarat,2008,1430,4932,59048428,339401791
Haryana,2008,1579,4249,42033932,125403133
Himachal Pradesh,2008,151,872,9661388,41861345
Jammu & Kashmir,2008,272,1332,11130990,59730434
Jharkhand,2008,188,1375,1795681,21482618
Karnataka,2008,1766,6258,94543552,466383124
Kerala,2008,1037,3533,25512674,229243049
Lakshadweep,2008,1,3,90000,170000
Madhya Pradesh,2008,3600,11072,41839086,211486284
Maharashtra,2008,4383,15170,157981978,1032152787
Manipur,2008,1,76,8000,5093017
Meghalaya,2008,58,166,1669387,10597971
Mizoram,2008,242,337,3117519,4783226
Nagaland,2008,15,120,311600,67628375
Odisha,2008,1232,3064,18652216,108586553
Puducherry,2008,50,90,3810322,5486940
Punjab,2008,1170,2621,66341932,176012188
Rajasthan,2008,1591,4526,64937309,156179875
Sikkim,2008,17,81,277651,2678956
Tamil Nadu,2008,2460,3849,81315722,148377321
Tripura,2008,71,218,411025,8867006
Uttar Pradesh,2008,1182,4142,294258481,402284871
Uttarakhand,2008,144,376,3439522,17604646
West Bengal,2008,109,462,9090647,26328271
Andaman & Nicobar Islands,2009,29,86,2269980,4793680
Andhra Pradesh,2009,3416,7702,106540830,372576517
Arunachal Pradesh,2009,89,201,156360345,159726496
Assam,2009,445,3149,12984924,56531036
Bihar,2009,329,3566,4157497,55027421
Chandigarh,2009,48,241,1786400,15450340
Chhattisgarh,2009,1278,3975,23436476,107702392
Dadra & Nagar Haveli,2009,13,43,1270375,4853240
Daman & Diu,2009,7,33,3242500,7972502
Delhi,2009,521,1733,30852082,252397901
Goa,2009,71,283,7598920,33425540
Gujarat,2009,1269,4385,54175506,284188989
Haryana,2009,1470,4077,45697180,157613697
Himachal Pradesh,2009,136,779,4198707,48552609
Jammu & Kashmir,2009,332,1550,14636419,68121065
Jharkhand,2009,211,1392,2696624,24899098
Karnataka,2009,1865,6629,243264403,463183202
Kerala,2009,1186,3301,246436586,429911619
Lakshadweep,2009,0,1,0,300000
Madhya Pradesh,2009,3123,10661,43077627,243536207
Maharashtra,2009,4194,15145,149327777,1039474153
Manipur,2009,2,68,120000,6881996
Meghalaya,2009,40,135,873070,3509319
Mizoram,2009,198,381,20729355,34010675
Nagaland,2009,5,82,208400,5215330
Odisha,2009,1029,2937,19859140,201568864
Puducherry,2009,46,71,3401445,5541789
Punjab,2009,1017,2507,66717698,195157605
Rajasthan,2009,1654,5022,113439012,257626988
Sikkim,2009,23,93,474910,4691401
Tamil Nadu,2009,2670,4221,95741975,187905915
Tripura,2009,56,230,1981425,6880296
Uttar Pradesh,2009,1070,4084,48291629,149793453
Uttarakhand,2009,127,276,4102913,14014734
West Bengal,2009,70,329,2366488,26868906
